year,cbsa,GEO_ID,CONTROL,LAG_2,LAG_1,TARGET,REMOTE,REMOTE_PPL,Computer,WirelessDevice,Cellular,CableFiber,SatelliteInternet,dist_to_cbd,covid
2017,44140,1001,AGE_LOW,0.77377892,0.833773087,0.897142857,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2017,44140,1001,AGE_MID,0.857142857,0.918781726,0.911392405,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2017,44140,1001,AGE_HIGH,1,0.857142857,0.765625,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2018,44140,1001,AGE_LOW,0.833773087,0.897142857,0.903703704,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2018,44140,1001,AGE_MID,0.918781726,0.911392405,0.940298507,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2018,44140,1001,AGE_HIGH,0.857142857,0.765625,0.829787234,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2019,44140,1001,AGE_LOW,0.897142857,0.903703704,0.868421053,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2019,44140,1001,AGE_MID,0.911392405,0.940298507,0.858657244,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2019,44140,1001,AGE_HIGH,0.765625,0.829787234,0.8,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2020,44140,1001,AGE_LOW,0.903703704,0.868421053,0.673139159,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2020,44140,1001,AGE_MID,0.940298507,0.858657244,0.859296482,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2020,44140,1001,AGE_HIGH,0.829787234,0.8,0.85106383,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2021,44140,1001,AGE_LOW,0.868421053,0.673139159,0.702631579,0.383150311,0.0969788,0.784,0.055,0.726,0.679,0.022,3.729452276,1
2021,44140,1001,AGE_MID,0.858657244,0.859296482,0.866935484,0.383150311,0.0969788,0.784,0.055,0.726,0.679,0.022,3.729452276,1
2021,44140,1001,AGE_HIGH,0.8,0.85106383,0.72,0.383150311,0.0969788,0.784,0.055,0.726,0.679,0.022,3.729452276,1
2022,44140,1001,AGE_LOW,0.673139159,0.702631579,0.608040201,0.371237202,0.083838939,0.751,0.046,0.789,0.667,0.017,3.729452276,1
2022,44140,1001,AGE_MID,0.859296482,0.866935484,0.888888889,0.371237202,0.083838939,0.751,0.046,0.789,0.667,0.017,3.729452276,1
2022,44140,1001,AGE_HIGH,0.85106383,0.72,0.653846154,0.371237202,0.083838939,0.751,0.046,0.789,0.667,0.017,3.729452276,1
2017,49340,1603,AGE_LOW,0.672661871,0.615969582,0.479166667,0.331787652,0.077873917,0.736,0.035,0.458,0.676,0.023,3.621162924,0
2017,49340,1603,AGE_MID,0.740932642,0.764423077,0.793577982,0.331787652,0.077873917,0.736,0.035,0.458,0.676,0.023,3.621162924,0
2017,49340,1603,AGE_HIGH,0.863636364,0.941176471,1,0.331787652,0.077873917,0.736,0.035,0.458,0.676,0.023,3.621162924,0
2018,49340,1603,AGE_LOW,0.615969582,0.479166667,0.5,0.316246853,0.084602075,0.692,0.037,0.565,0.646,0.029,3.621162924,0
2018,49340,1603,AGE_MID,0.764423077,0.793577982,0.75,0.316246853,0.084602075,0.692,0.037,0.565,0.646,0.029,3.621162924,0
2018,49340,1603,AGE_HIGH,0.941176471,1,0.92,0.316246853,0.084602075,0.692,0.037,0.565,0.646,0.029,3.621162924,0
2019,49340,1603,AGE_LOW,0.479166667,0.5,0.63002681,0.331843214,0.095141064,0.699,0.034,0.697,0.683,0.026,3.621162924,0
2019,49340,1603,AGE_MID,0.793577982,0.75,0.801204819,0.331843214,0.095141064,0.699,0.034,0.697,0.683,0.026,3.621162924,0
2019,49340,1603,AGE_HIGH,1,0.92,0.910447761,0.331843214,0.095141064,0.699,0.034,0.697,0.683,0.026,3.621162924,0
2020,49340,1603,AGE_LOW,0.5,0.63002681,0.715365239,0.340479124,0.079014878,0.666,0.037,0.766,0.645,0.023,3.621162924,1
2020,49340,1603,AGE_MID,0.75,0.801204819,0.839650146,0.340479124,0.079014878,0.666,0.037,0.766,0.645,0.023,3.621162924,1
2020,49340,1603,AGE_HIGH,0.92,0.910447761,0.939393939,0.340479124,0.079014878,0.666,0.037,0.766,0.645,0.023,3.621162924,1
2021,49340,1603,AGE_LOW,0.63002681,0.715365239,0.717761557,0.348114615,0.063171844,0.695,0.049,0.819,0.681,0.023,3.621162924,1
2021,49340,1603,AGE_MID,0.801204819,0.839650146,0.857605178,0.348114615,0.063171844,0.695,0.049,0.819,0.681,0.023,3.621162924,1
2021,49340,1603,AGE_HIGH,0.910447761,0.939393939,0.955555556,0.348114615,0.063171844,0.695,0.049,0.819,0.681,0.023,3.621162924,1
2022,49340,1603,AGE_LOW,0.715365239,0.717761557,0.784222738,0.349895746,0.054862489,0.718,0.053,0.845,0.704,0.038,3.621162924,1
2022,49340,1603,AGE_MID,0.839650146,0.857605178,0.753665689,0.349895746,0.054862489,0.718,0.053,0.845,0.704,0.038,3.621162924,1
2022,49340,1603,AGE_HIGH,0.939393939,0.955555556,0.963855422,0.349895746,0.054862489,0.718,0.053,0.845,0.704,0.038,3.621162924,1
2017,49340,1604,AGE_LOW,0.741273101,0.72195122,0.6825,0.369674415,0.075444027,0.76,0.028,0.418,0.697,0.035,3.464196459,0
2017,49340,1604,AGE_MID,0.773584906,0.8125,0.804469274,0.369674415,0.075444027,0.76,0.028,0.418,0.697,0.035,3.464196459,0
2017,49340,1604,AGE_HIGH,1,0.702702703,0.595744681,0.369674415,0.075444027,0.76,0.028,0.418,0.697,0.035,3.464196459,0
2018,49340,1604,AGE_LOW,0.72195122,0.6825,0.683453237,0.376353294,0.070524556,0.738,0.031,0.551,0.699,0.035,3.464196459,0
2018,49340,1604,AGE_MID,0.8125,0.804469274,0.76076555,0.376353294,0.070524556,0.738,0.031,0.551,0.699,0.035,3.464196459,0
2018,49340,1604,AGE_HIGH,0.702702703,0.595744681,0.743902439,0.376353294,0.070524556,0.738,0.031,0.551,0.699,0.035,3.464196459,0
2019,49340,1604,AGE_LOW,0.6825,0.683453237,0.64229765,0.35889993,0.064752907,0.738,0.031,0.685,0.71,0.037,3.464196459,0
2019,49340,1604,AGE_MID,0.804469274,0.76076555,0.75,0.35889993,0.064752907,0.738,0.031,0.685,0.71,0.037,3.464196459,0
2019,49340,1604,AGE_HIGH,0.595744681,0.743902439,0.860215054,0.35889993,0.064752907,0.738,0.031,0.685,0.71,0.037,3.464196459,0
2020,49340,1604,AGE_LOW,0.683453237,0.64229765,0.650759219,0.379540121,0.081558515,0.735,0.035,0.812,0.742,0.036,3.464196459,1
2020,49340,1604,AGE_MID,0.76076555,0.75,0.67816092,0.379540121,0.081558515,0.735,0.035,0.812,0.742,0.036,3.464196459,1
2020,49340,1604,AGE_HIGH,0.743902439,0.860215054,0.864864865,0.379540121,0.081558515,0.735,0.035,0.812,0.742,0.036,3.464196459,1
2021,49340,1604,AGE_LOW,0.64229765,0.650759219,0.576837416,0.379714222,0.080219425,0.742,0.027,0.837,0.753,0.027,3.464196459,1
2021,49340,1604,AGE_MID,0.75,0.67816092,0.748663102,0.379714222,0.080219425,0.742,0.027,0.837,0.753,0.027,3.464196459,1
2021,49340,1604,AGE_HIGH,0.860215054,0.864864865,0.782051282,0.379714222,0.080219425,0.742,0.027,0.837,0.753,0.027,3.464196459,1
2022,49340,1604,AGE_LOW,0.650759219,0.576837416,0.553684211,0.394215517,0.07652241,0.757,0.036,0.848,0.764,0.026,3.464196459,1
2022,49340,1604,AGE_MID,0.67816092,0.748663102,0.719298246,0.394215517,0.07652241,0.757,0.036,0.848,0.764,0.026,3.464196459,1
2022,49340,1604,AGE_HIGH,0.864864865,0.782051282,0.801980198,0.394215517,0.07652241,0.757,0.036,0.848,0.764,0.026,3.464196459,1
2017,49340,1605,AGE_LOW,0.748148148,0.73857404,0.718309859,0.352362919,0.092286671,0.668,0.035,0.402,0.609,0.029,3.485681557,0
2017,49340,1605,AGE_MID,0.729083665,0.785714286,0.768115942,0.352362919,0.092286671,0.668,0.035,0.402,0.609,0.029,3.485681557,0
2017,49340,1605,AGE_HIGH,0.708333333,0.878787879,0.819277108,0.352362919,0.092286671,0.668,0.035,0.402,0.609,0.029,3.485681557,0
2018,49340,1605,AGE_LOW,0.73857404,0.718309859,0.657831325,0.369413911,0.094970671,0.655,0.037,0.505,0.615,0.024,3.485681557,0
2018,49340,1605,AGE_MID,0.785714286,0.768115942,0.805031447,0.369413911,0.094970671,0.655,0.037,0.505,0.615,0.024,3.485681557,0
2018,49340,1605,AGE_HIGH,0.878787879,0.819277108,0.840425532,0.369413911,0.094970671,0.655,0.037,0.505,0.615,0.024,3.485681557,0
2019,49340,1605,AGE_LOW,0.718309859,0.657831325,0.68852459,0.359288517,0.086692568,0.638,0.037,0.614,0.628,0.025,3.485681557,0
2019,49340,1605,AGE_MID,0.768115942,0.805031447,0.768627451,0.359288517,0.086692568,0.638,0.037,0.614,0.628,0.025,3.485681557,0
2019,49340,1605,AGE_HIGH,0.819277108,0.840425532,0.824175824,0.359288517,0.086692568,0.638,0.037,0.614,0.628,0.025,3.485681557,0
2020,49340,1605,AGE_LOW,0.657831325,0.68852459,0.672985782,0.356694265,0.081596785,0.637,0.041,0.696,0.655,0.026,3.485681557,1
2020,49340,1605,AGE_MID,0.805031447,0.768627451,0.681818182,0.356694265,0.081596785,0.637,0.041,0.696,0.655,0.026,3.485681557,1
2020,49340,1605,AGE_HIGH,0.840425532,0.824175824,0.81,0.356694265,0.081596785,0.637,0.041,0.696,0.655,0.026,3.485681557,1
2021,49340,1605,AGE_LOW,0.68852459,0.672985782,0.684478372,0.369200542,0.087162317,0.669,0.043,0.75,0.69,0.028,3.485681557,1
2021,49340,1605,AGE_MID,0.768627451,0.681818182,0.680379747,0.369200542,0.087162317,0.669,0.043,0.75,0.69,0.028,3.485681557,1
2021,49340,1605,AGE_HIGH,0.824175824,0.81,0.808510638,0.369200542,0.087162317,0.669,0.043,0.75,0.69,0.028,3.485681557,1
2022,49340,1605,AGE_LOW,0.672985782,0.684478372,0.68591224,0.365195171,0.064535088,0.698,0.044,0.776,0.73,0.031,3.485681557,1
2022,49340,1605,AGE_MID,0.681818182,0.680379747,0.655589124,0.365195171,0.064535088,0.698,0.044,0.776,0.73,0.031,3.485681557,1
2022,49340,1605,AGE_HIGH,0.81,0.808510638,0.811594203,0.365195171,0.064535088,0.698,0.044,0.776,0.73,0.031,3.485681557,1
2017,49340,1606,AGE_LOW,0.780660377,0.698961938,0.637630662,0.393502121,0.118600216,0.817,0.042,0.484,0.763,0.027,3.758862817,0
2017,49340,1606,AGE_MID,0.793478261,0.755868545,0.674107143,0.393502121,0.118600216,0.817,0.042,0.484,0.763,0.027,3.758862817,0
2017,49340,1606,AGE_HIGH,0.44,0,0.1,0.393502121,0.118600216,0.817,0.042,0.484,0.763,0.027,3.758862817,0
2018,49340,1606,AGE_LOW,0.698961938,0.637630662,0.627615063,0.393015767,0.118270798,0.81,0.036,0.567,0.748,0.037,3.758862817,0
2018,49340,1606,AGE_MID,0.755868545,0.674107143,0.659090909,0.393015767,0.118270798,0.81,0.036,0.567,0.748,0.037,3.758862817,0
2018,49340,1606,AGE_HIGH,0,0.1,0.096774194,0.393015767,0.118270798,0.81,0.036,0.567,0.748,0.037,3.758862817,0
2019,49340,1606,AGE_LOW,0.637630662,0.627615063,0.678787879,0.389727269,0.104812397,0.792,0.04,0.673,0.735,0.031,3.758862817,0
2019,49340,1606,AGE_MID,0.674107143,0.659090909,0.661654135,0.389727269,0.104812397,0.792,0.04,0.673,0.735,0.031,3.758862817,0
2019,49340,1606,AGE_HIGH,0.1,0.096774194,0.090909091,0.389727269,0.104812397,0.792,0.04,0.673,0.735,0.031,3.758862817,0
2020,49340,1606,AGE_LOW,0.627615063,0.678787879,0.475308642,0.404901377,0.093943607,0.798,0.045,0.773,0.744,0.042,3.758862817,1
2020,49340,1606,AGE_MID,0.659090909,0.661654135,0.633064516,0.404901377,0.093943607,0.798,0.045,0.773,0.744,0.042,3.758862817,1
2020,49340,1606,AGE_HIGH,0.096774194,0.090909091,0.125,0.404901377,0.093943607,0.798,0.045,0.773,0.744,0.042,3.758862817,1
2021,49340,1606,AGE_LOW,0.678787879,0.475308642,0.326923077,0.42021233,0.08074328,0.829,0.041,0.818,0.777,0.038,3.758862817,1
2021,49340,1606,AGE_MID,0.661654135,0.633064516,0.511450382,0.42021233,0.08074328,0.829,0.041,0.818,0.777,0.038,3.758862817,1
2021,49340,1606,AGE_HIGH,0.090909091,0.125,0.342857143,0.42021233,0.08074328,0.829,0.041,0.818,0.777,0.038,3.758862817,1
2022,49340,1606,AGE_LOW,0.475308642,0.326923077,0.321167883,0.419743847,0.07783611,0.814,0.044,0.808,0.761,0.034,3.758862817,1
2022,49340,1606,AGE_MID,0.633064516,0.511450382,0.514563107,0.419743847,0.07783611,0.814,0.044,0.808,0.761,0.034,3.758862817,1
2022,49340,1606,AGE_HIGH,0.125,0.342857143,0.58974359,0.419743847,0.07783611,0.814,0.044,0.808,0.761,0.034,3.758862817,1
2017,49340,1608,AGE_LOW,0.648648649,0.657894737,0.4,0.379688349,0.099865034,0.563,0.093,0.393,0.52,0.024,2.350723961,0
2017,49340,1608,AGE_MID,0.659898477,0.736423841,0.679591837,0.379688349,0.099865034,0.563,0.093,0.393,0.52,0.024,2.350723961,0
2017,49340,1608,AGE_HIGH,0.748616571,0.683019584,1,0.379688349,0.099865034,0.563,0.093,0.393,0.52,0.024,2.350723961,0
2018,49340,1608,AGE_LOW,0.657894737,0.4,0.607207207,0.344746678,0.076433113,0.583,0.08,0.56,0.554,0.024,2.350723961,0
2018,49340,1608,AGE_MID,0.736423841,0.679591837,0.62993763,0.344746678,0.076433113,0.583,0.08,0.56,0.554,0.024,2.350723961,0
2018,49340,1608,AGE_HIGH,0.683019584,1,1,0.344746678,0.076433113,0.583,0.08,0.56,0.554,0.024,2.350723961,0
2019,49340,1608,AGE_LOW,0.4,0.607207207,0.656200942,0.329343488,0.054991535,0.568,0.075,0.61,0.575,0.026,2.350723961,0
2019,49340,1608,AGE_MID,0.679591837,0.62993763,0.646464646,0.329343488,0.054991535,0.568,0.075,0.61,0.575,0.026,2.350723961,0
2019,49340,1608,AGE_HIGH,1,1,1,0.329343488,0.054991535,0.568,0.075,0.61,0.575,0.026,2.350723961,0
2020,49340,1608,AGE_LOW,0.607207207,0.656200942,0.65849387,0.334517061,0.059239606,0.685,0.096,0.744,0.674,0.015,2.350723961,1
2020,49340,1608,AGE_MID,0.62993763,0.646464646,0.691871456,0.334517061,0.059239606,0.685,0.096,0.744,0.674,0.015,2.350723961,1
2020,49340,1608,AGE_HIGH,1,1,1,0.334517061,0.059239606,0.685,0.096,0.744,0.674,0.015,2.350723961,1
2021,49340,1608,AGE_LOW,0.656200942,0.65849387,0.562318841,0.309172155,0.068456371,0.782,0.077,0.857,0.735,0.014,2.350723961,1
2021,49340,1608,AGE_MID,0.646464646,0.691871456,0.719789842,0.309172155,0.068456371,0.782,0.077,0.857,0.735,0.014,2.350723961,1
2021,49340,1608,AGE_HIGH,1,1,1,0.309172155,0.068456371,0.782,0.077,0.857,0.735,0.014,2.350723961,1
2022,49340,1608,AGE_LOW,0.65849387,0.562318841,0.506970849,0.331062876,0.054341033,0.769,0.069,0.85,0.731,0.048,2.350723961,1
2022,49340,1608,AGE_MID,0.691871456,0.719789842,0.8,0.331062876,0.054341033,0.769,0.069,0.85,0.731,0.048,2.350723961,1
2022,49340,1608,AGE_HIGH,1,1,0.172888016,0.331062876,0.054341033,0.769,0.069,0.85,0.731,0.048,2.350723961,1
2017,49340,1609,AGE_LOW,0.396226415,0.416107383,0.415630551,0.408405237,0.088160134,0.752,0.042,0.455,0.688,0.023,3.532368827,0
2017,49340,1609,AGE_MID,0.740425532,0.565693431,0.547987616,0.408405237,0.088160134,0.752,0.042,0.455,0.688,0.023,3.532368827,0
2017,49340,1609,AGE_HIGH,0.72972973,0.791666667,0.9,0.408405237,0.088160134,0.752,0.042,0.455,0.688,0.023,3.532368827,0
2018,49340,1609,AGE_LOW,0.416107383,0.415630551,0.413461538,0.409495651,0.091223351,0.732,0.037,0.558,0.657,0.023,3.532368827,0
2018,49340,1609,AGE_MID,0.565693431,0.547987616,0.482889734,0.409495651,0.091223351,0.732,0.037,0.558,0.657,0.023,3.532368827,0
2018,49340,1609,AGE_HIGH,0.791666667,0.9,1,0.409495651,0.091223351,0.732,0.037,0.558,0.657,0.023,3.532368827,0
2019,49340,1609,AGE_LOW,0.415630551,0.413461538,0.360967185,0.384328433,0.067802563,0.722,0.045,0.642,0.661,0.019,3.532368827,0
2019,49340,1609,AGE_MID,0.547987616,0.482889734,0.564864865,0.384328433,0.067802563,0.722,0.045,0.642,0.661,0.019,3.532368827,0
2019,49340,1609,AGE_HIGH,0.9,1,0.934210526,0.384328433,0.067802563,0.722,0.045,0.642,0.661,0.019,3.532368827,0
2020,49340,1609,AGE_LOW,0.413461538,0.360967185,0.416806723,0.391644732,0.057661217,0.721,0.055,0.702,0.667,0.018,3.532368827,1
2020,49340,1609,AGE_MID,0.482889734,0.564864865,0.647584973,0.391644732,0.057661217,0.721,0.055,0.702,0.667,0.018,3.532368827,1
2020,49340,1609,AGE_HIGH,1,0.934210526,0.9375,0.391644732,0.057661217,0.721,0.055,0.702,0.667,0.018,3.532368827,1
2021,49340,1609,AGE_LOW,0.360967185,0.416806723,0.333333333,0.395918016,0.066931636,0.732,0.045,0.776,0.704,0.023,3.532368827,1
2021,49340,1609,AGE_MID,0.564864865,0.647584973,0.807017544,0.395918016,0.066931636,0.732,0.045,0.776,0.704,0.023,3.532368827,1
2021,49340,1609,AGE_HIGH,0.934210526,0.9375,0.946808511,0.395918016,0.066931636,0.732,0.045,0.776,0.704,0.023,3.532368827,1
2022,49340,1609,AGE_LOW,0.416806723,0.333333333,0.370307167,0.412625738,0.071803852,0.763,0.041,0.812,0.73,0.027,3.532368827,1
2022,49340,1609,AGE_MID,0.647584973,0.807017544,0.804295943,0.412625738,0.071803852,0.763,0.041,0.812,0.73,0.027,3.532368827,1
2022,49340,1609,AGE_HIGH,0.9375,0.946808511,0.95959596,0.412625738,0.071803852,0.763,0.041,0.812,0.73,0.027,3.532368827,1
2017,49340,1610,AGE_LOW,0.602,0.55982906,0.560085837,0.298291022,0.059534387,0.608,0.033,0.397,0.56,0.019,3.296618127,0
2017,49340,1610,AGE_MID,0.882352941,0.891358025,0.885204082,0.298291022,0.059534387,0.608,0.033,0.397,0.56,0.019,3.296618127,0
2017,49340,1610,AGE_HIGH,0.75,0.783783784,0.803921569,0.298291022,0.059534387,0.608,0.033,0.397,0.56,0.019,3.296618127,0
2018,49340,1610,AGE_LOW,0.55982906,0.560085837,0.530916844,0.301284326,0.064267811,0.599,0.036,0.533,0.544,0.018,3.296618127,0
2018,49340,1610,AGE_MID,0.891358025,0.885204082,0.922169811,0.301284326,0.064267811,0.599,0.036,0.533,0.544,0.018,3.296618127,0
2018,49340,1610,AGE_HIGH,0.783783784,0.803921569,0.708333333,0.301284326,0.064267811,0.599,0.036,0.533,0.544,0.018,3.296618127,0
2019,49340,1610,AGE_LOW,0.560085837,0.530916844,0.485294118,0.309617608,0.070483748,0.576,0.041,0.642,0.557,0.023,3.296618127,0
2019,49340,1610,AGE_MID,0.885204082,0.922169811,0.834862385,0.309617608,0.070483748,0.576,0.041,0.642,0.557,0.023,3.296618127,0
2019,49340,1610,AGE_HIGH,0.803921569,0.708333333,0.770114943,0.309617608,0.070483748,0.576,0.041,0.642,0.557,0.023,3.296618127,0
2020,49340,1610,AGE_LOW,0.530916844,0.485294118,0.420634921,0.306534368,0.059029806,0.56,0.044,0.706,0.571,0.012,3.296618127,1
2020,49340,1610,AGE_MID,0.922169811,0.834862385,0.778074866,0.306534368,0.059029806,0.56,0.044,0.706,0.571,0.012,3.296618127,1
2020,49340,1610,AGE_HIGH,0.708333333,0.770114943,0.720588235,0.306534368,0.059029806,0.56,0.044,0.706,0.571,0.012,3.296618127,1
2021,49340,1610,AGE_LOW,0.485294118,0.420634921,0.407279029,0.326363398,0.054559999,0.593,0.044,0.766,0.622,0.023,3.296618127,1
2021,49340,1610,AGE_MID,0.834862385,0.778074866,0.808219178,0.326363398,0.054559999,0.593,0.044,0.766,0.622,0.023,3.296618127,1
2021,49340,1610,AGE_HIGH,0.770114943,0.720588235,0.818181818,0.326363398,0.054559999,0.593,0.044,0.766,0.622,0.023,3.296618127,1
2022,49340,1610,AGE_LOW,0.420634921,0.407279029,0.462279294,0.335731012,0.066708424,0.627,0.044,0.78,0.65,0.029,3.296618127,1
2022,49340,1610,AGE_MID,0.778074866,0.808219178,0.728494624,0.335731012,0.066708424,0.627,0.044,0.78,0.65,0.029,3.296618127,1
2022,49340,1610,AGE_HIGH,0.720588235,0.818181818,0.784090909,0.335731012,0.066708424,0.627,0.044,0.78,0.65,0.029,3.296618127,1
2017,14460,2108,AGE_LOW,0.318706697,0.260869565,0.149006623,0.635585283,0.266219224,0.972,0.083,0.529,0.933,0.014,2.776670266,0
2017,14460,2108,AGE_MID,0.383030303,0.542808219,0.585964912,0.635585283,0.266219224,0.972,0.083,0.529,0.933,0.014,2.776670266,0
2017,14460,2108,AGE_HIGH,0,0,0,0.635585283,0.266219224,0.972,0.083,0.529,0.933,0.014,2.776670266,0
2018,14460,2108,AGE_LOW,0.260869565,0.149006623,0.150641026,0.617567938,0.257897745,0.945,0.08,0.68,0.873,0.02,2.776670266,0
2018,14460,2108,AGE_MID,0.542808219,0.585964912,0.611222445,0.617567938,0.257897745,0.945,0.08,0.68,0.873,0.02,2.776670266,0
2018,14460,2108,AGE_HIGH,0,0,0,0.617567938,0.257897745,0.945,0.08,0.68,0.873,0.02,2.776670266,0
2019,14460,2108,AGE_LOW,0.149006623,0.150641026,0.224872232,0.615717861,0.205334665,0.942,0.066,0.774,0.883,0.047,2.776670266,0
2019,14460,2108,AGE_MID,0.585964912,0.611222445,0.815461347,0.615717861,0.205334665,0.942,0.066,0.774,0.883,0.047,2.776670266,0
2019,14460,2108,AGE_HIGH,0,0,0,0.615717861,0.205334665,0.942,0.066,0.774,0.883,0.047,2.776670266,0
2020,14460,2108,AGE_LOW,0.150641026,0.224872232,0.193055556,0.603064392,0.178146029,0.935,0.078,0.885,0.894,0.043,2.776670266,1
2020,14460,2108,AGE_MID,0.611222445,0.815461347,0.60046729,0.603064392,0.178146029,0.935,0.078,0.885,0.894,0.043,2.776670266,1
2020,14460,2108,AGE_HIGH,0,0,0,0.603064392,0.178146029,0.935,0.078,0.885,0.894,0.043,2.776670266,1
2021,14460,2108,AGE_LOW,0.224872232,0.193055556,0.26874116,0.651856089,0.207010568,0.934,0.081,0.899,0.861,0.047,2.776670266,1
2021,14460,2108,AGE_MID,0.815461347,0.60046729,0.402020202,0.651856089,0.207010568,0.934,0.081,0.899,0.861,0.047,2.776670266,1
2021,14460,2108,AGE_HIGH,0,0,0,0.651856089,0.207010568,0.934,0.081,0.899,0.861,0.047,2.776670266,1
2022,14460,2108,AGE_LOW,0.193055556,0.26874116,0.163758389,0.639253499,0.203432918,0.934,0.07,0.887,0.869,0.068,2.776670266,1
2022,14460,2108,AGE_MID,0.60046729,0.402020202,0.360526316,0.639253499,0.203432918,0.934,0.07,0.887,0.869,0.068,2.776670266,1
