year,cbsa,GEO_ID,CONTROL,LAG_2,LAG_1,TARGET,REMOTE,REMOTE_PPL,Computer,WirelessDevice,Cellular,CableFiber,SatelliteInternet,dist_to_cbd,covid
2017,44140,1001,CITIZENSHIP_0,0.76433121,0.811550152,0.906602254,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2017,44140,1001,CITIZENSHIP_1,0.630434783,0.74301676,0.635983264,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2018,44140,1001,CITIZENSHIP_0,0.811550152,0.906602254,0.912423625,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2018,44140,1001,CITIZENSHIP_1,0.74301676,0.635983264,0.821138211,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2019,44140,1001,CITIZENSHIP_0,0.906602254,0.912423625,0.95,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2019,44140,1001,CITIZENSHIP_1,0.635983264,0.821138211,0.827586207,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2020,44140,1001,CITIZENSHIP_0,0.912423625,0.95,0.800847458,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2020,44140,1001,CITIZENSHIP_1,0.821138211,0.827586207,0.233766234,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2021,44140,1001,CITIZENSHIP_0,0.95,0.800847458,0.827433628,0.383150311,0.0969788,0.784,0.055,0.726,0.679,0.022,3.729452276,1
2021,44140,1001,CITIZENSHIP_1,0.827586207,0.233766234,0.542857143,0.383150311,0.0969788,0.784,0.055,0.726,0.679,0.022,3.729452276,1
2022,44140,1001,CITIZENSHIP_0,0.800847458,0.827433628,0.596153846,0.371237202,0.083838939,0.751,0.046,0.789,0.667,0.017,3.729452276,1
2022,44140,1001,CITIZENSHIP_1,0.233766234,0.542857143,0.532374101,0.371237202,0.083838939,0.751,0.046,0.789,0.667,0.017,3.729452276,1
2017,49340,1603,CITIZENSHIP_0,0.803278689,0.847533632,0.792792793,0.331787652,0.077873917,0.736,0.035,0.458,0.676,0.023,3.621162924,0
