year,cbsa,GEO_ID,CONTROL,LAG_2,LAG_1,TARGET,REMOTE,REMOTE_PPL,Computer,WirelessDevice,Cellular,CableFiber,SatelliteInternet,dist_to_cbd,covid
2017,44140,1001,EDU_LOW,0.898058252,0.89380531,0.892473118,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2017,44140,1001,EDU_MID,0.73015873,0.722488038,0.851851852,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2017,44140,1001,EDU_HIGH,1,1,1,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2018,44140,1001,EDU_LOW,0.89380531,0.892473118,0.895470383,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2018,44140,1001,EDU_MID,0.722488038,0.851851852,0.852941176,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2018,44140,1001,EDU_HIGH,1,1,1,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2019,44140,1001,EDU_LOW,0.892473118,0.895470383,0.906779661,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2019,44140,1001,EDU_MID,0.851851852,0.852941176,0.821428571,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2019,44140,1001,EDU_HIGH,1,1,0.829268293,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2020,44140,1001,EDU_LOW,0.895470383,0.906779661,0.968085106,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2020,44140,1001,EDU_MID,0.852941176,0.821428571,0.82320442,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2020,44140,1001,EDU_HIGH,1,0.829268293,0.271186441,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2021,44140,1001,EDU_LOW,0.906779661,0.968085106,0.924242424,0.383150311,0.0969788,0.784,0.055,0.726,0.679,0.022,3.729452276,1
2021,44140,1001,EDU_MID,0.821428571,0.82320442,0.875,0.383150311,0.0969788,0.784,0.055,0.726,0.679,0.022,3.729452276,1
2021,44140,1001,EDU_HIGH,0.829268293,0.271186441,0.319444444,0.383150311,0.0969788,0.784,0.055,0.726,0.679,0.022,3.729452276,1
2022,44140,1001,EDU_LOW,0.968085106,0.924242424,0.870503597,0.371237202,0.083838939,0.751,0.046,0.789,0.667,0.017,3.729452276,1
2022,44140,1001,EDU_MID,0.82320442,0.875,0.84180791,0.371237202,0.083838939,0.751,0.046,0.789,0.667,0.017,3.729452276,1
2022,44140,1001,EDU_HIGH,0.271186441,0.319444444,0.319587629,0.371237202,0.083838939,0.751,0.046,0.789,0.667,0.017,3.729452276,1
2017,49340,1603,EDU_LOW,0.711111111,0.730263158,0.739393939,0.331787652,0.077873917,0.736,0.035,0.458,0.676,0.023,3.621162924,0
2017,49340,1603,EDU_MID,0.730994152,0.708791209,0.646153846,0.331787652,0.077873917,0.736,0.035,0.458,0.676,0.023,3.621162924,0
2017,49340,1603,EDU_HIGH,0.183098592,0.234042553,0.293103448,0.331787652,0.077873917,0.736,0.035,0.458,0.676,0.023,3.621162924,0
2018,49340,1603,EDU_LOW,0.730263158,0.739393939,0.696078431,0.316246853,0.084602075,0.692,0.037,0.565,0.646,0.029,3.621162924,0
2018,49340,1603,EDU_MID,0.708791209,0.646153846,0.697416974,0.316246853,0.084602075,0.692,0.037,0.565,0.646,0.029,3.621162924,0
2018,49340,1603,EDU_HIGH,0.234042553,0.293103448,0.396825397,0.316246853,0.084602075,0.692,0.037,0.565,0.646,0.029,3.621162924,0
2019,49340,1603,EDU_LOW,0.739393939,0.696078431,0.777777778,0.331843214,0.095141064,0.699,0.034,0.697,0.683,0.026,3.621162924,0
2019,49340,1603,EDU_MID,0.646153846,0.697416974,0.735376045,0.331843214,0.095141064,0.699,0.034,0.697,0.683,0.026,3.621162924,0
2019,49340,1603,EDU_HIGH,0.293103448,0.396825397,0.410714286,0.331843214,0.095141064,0.699,0.034,0.697,0.683,0.026,3.621162924,0
2020,49340,1603,EDU_LOW,0.696078431,0.777777778,0.880478088,0.340479124,0.079014878,0.666,0.037,0.766,0.645,0.023,3.621162924,1
2020,49340,1603,EDU_MID,0.697416974,0.735376045,0.824615385,0.340479124,0.079014878,0.666,0.037,0.766,0.645,0.023,3.621162924,1
2020,49340,1603,EDU_HIGH,0.396825397,0.410714286,0.433333333,0.340479124,0.079014878,0.666,0.037,0.766,0.645,0.023,3.621162924,1
2021,49340,1603,EDU_LOW,0.777777778,0.880478088,0.85,0.348114615,0.063171844,0.695,0.049,0.819,0.681,0.023,3.621162924,1
2021,49340,1603,EDU_MID,0.735376045,0.824615385,0.855305466,0.348114615,0.063171844,0.695,0.049,0.819,0.681,0.023,3.621162924,1
2021,49340,1603,EDU_HIGH,0.410714286,0.433333333,0.78125,0.348114615,0.063171844,0.695,0.049,0.819,0.681,0.023,3.621162924,1
2022,49340,1603,EDU_LOW,0.880478088,0.85,0.807843137,0.349895746,0.054862489,0.718,0.053,0.845,0.704,0.038,3.621162924,1
2022,49340,1603,EDU_MID,0.824615385,0.855305466,0.812297735,0.349895746,0.054862489,0.718,0.053,0.845,0.704,0.038,3.621162924,1
2022,49340,1603,EDU_HIGH,0.433333333,0.78125,0.458333333,0.349895746,0.054862489,0.718,0.053,0.845,0.704,0.038,3.621162924,1
2017,49340,1604,EDU_LOW,0.763313609,0.764367816,0.734299517,0.369674415,0.075444027,0.76,0.028,0.418,0.697,0.035,3.464196459,0
2017,49340,1604,EDU_MID,0.798283262,0.748743719,0.720930233,0.369674415,0.075444027,0.76,0.028,0.418,0.697,0.035,3.464196459,0
2017,49340,1604,EDU_HIGH,0.545454545,0.6,0.505617978,0.369674415,0.075444027,0.76,0.028,0.418,0.697,0.035,3.464196459,0
2018,49340,1604,EDU_LOW,0.764367816,0.734299517,0.73853211,0.376353294,0.070524556,0.738,0.031,0.551,0.699,0.035,3.464196459,0
2018,49340,1604,EDU_MID,0.748743719,0.720930233,0.630081301,0.376353294,0.070524556,0.738,0.031,0.551,0.699,0.035,3.464196459,0
2018,49340,1604,EDU_HIGH,0.6,0.505617978,0.427350427,0.376353294,0.070524556,0.738,0.031,0.551,0.699,0.035,3.464196459,0
2019,49340,1604,EDU_LOW,0.734299517,0.73853211,0.788018433,0.35889993,0.064752907,0.738,0.031,0.685,0.71,0.037,3.464196459,0
2019,49340,1604,EDU_MID,0.720930233,0.630081301,0.586956522,0.35889993,0.064752907,0.738,0.031,0.685,0.71,0.037,3.464196459,0
2019,49340,1604,EDU_HIGH,0.505617978,0.427350427,0.471014493,0.35889993,0.064752907,0.738,0.031,0.685,0.71,0.037,3.464196459,0
2020,49340,1604,EDU_LOW,0.73853211,0.788018433,0.742857143,0.379540121,0.081558515,0.735,0.035,0.812,0.742,0.036,3.464196459,1
2020,49340,1604,EDU_MID,0.630081301,0.586956522,0.646511628,0.379540121,0.081558515,0.735,0.035,0.812,0.742,0.036,3.464196459,1
2020,49340,1604,EDU_HIGH,0.427350427,0.471014493,0.516556291,0.379540121,0.081558515,0.735,0.035,0.812,0.742,0.036,3.464196459,1
2021,49340,1604,EDU_LOW,0.788018433,0.742857143,0.793103448,0.379714222,0.080219425,0.742,0.027,0.837,0.753,0.027,3.464196459,1
2021,49340,1604,EDU_MID,0.586956522,0.646511628,0.621212121,0.379714222,0.080219425,0.742,0.027,0.837,0.753,0.027,3.464196459,1
2021,49340,1604,EDU_HIGH,0.471014493,0.516556291,0.451388889,0.379714222,0.080219425,0.742,0.027,0.837,0.753,0.027,3.464196459,1
2022,49340,1604,EDU_LOW,0.742857143,0.793103448,0.75974026,0.394215517,0.07652241,0.757,0.036,0.848,0.764,0.026,3.464196459,1
2022,49340,1604,EDU_MID,0.646511628,0.621212121,0.646464646,0.394215517,0.07652241,0.757,0.036,0.848,0.764,0.026,3.464196459,1
2022,49340,1604,EDU_HIGH,0.516556291,0.451388889,0.430107527,0.394215517,0.07652241,0.757,0.036,0.848,0.764,0.026,3.464196459,1
2017,49340,1605,EDU_LOW,0.802702703,0.848648649,0.849056604,0.352362919,0.092286671,0.668,0.035,0.402,0.609,0.029,3.485681557,0
2017,49340,1605,EDU_MID,0.776785714,0.845901639,0.813291139,0.352362919,0.092286671,0.668,0.035,0.402,0.609,0.029,3.485681557,0
2017,49340,1605,EDU_HIGH,0.340501792,0.462151394,0.551724138,0.352362919,0.092286671,0.668,0.035,0.402,0.609,0.029,3.485681557,0
2018,49340,1605,EDU_LOW,0.848648649,0.849056604,0.881578947,0.369413911,0.094970671,0.655,0.037,0.505,0.615,0.024,3.485681557,0
2018,49340,1605,EDU_MID,0.845901639,0.813291139,0.765886288,0.369413911,0.094970671,0.655,0.037,0.505,0.615,0.024,3.485681557,0
2018,49340,1605,EDU_HIGH,0.462151394,0.551724138,0.552380952,0.369413911,0.094970671,0.655,0.037,0.505,0.615,0.024,3.485681557,0
2019,49340,1605,EDU_LOW,0.849056604,0.881578947,0.875647668,0.359288517,0.086692568,0.638,0.037,0.614,0.628,0.025,3.485681557,0
2019,49340,1605,EDU_MID,0.813291139,0.765886288,0.821917808,0.359288517,0.086692568,0.638,0.037,0.614,0.628,0.025,3.485681557,0
2019,49340,1605,EDU_HIGH,0.551724138,0.552380952,0.527093596,0.359288517,0.086692568,0.638,0.037,0.614,0.628,0.025,3.485681557,0
2020,49340,1605,EDU_LOW,0.881578947,0.875647668,0.817021277,0.356694265,0.081596785,0.637,0.041,0.696,0.655,0.026,3.485681557,1
2020,49340,1605,EDU_MID,0.765886288,0.821917808,0.75,0.356694265,0.081596785,0.637,0.041,0.696,0.655,0.026,3.485681557,1
2020,49340,1605,EDU_HIGH,0.552380952,0.527093596,0.5,0.356694265,0.081596785,0.637,0.041,0.696,0.655,0.026,3.485681557,1
2021,49340,1605,EDU_LOW,0.875647668,0.817021277,0.800847458,0.369200542,0.087162317,0.669,0.043,0.75,0.69,0.028,3.485681557,1
2021,49340,1605,EDU_MID,0.821917808,0.75,0.694444444,0.369200542,0.087162317,0.669,0.043,0.75,0.69,0.028,3.485681557,1
2021,49340,1605,EDU_HIGH,0.527093596,0.5,0.563636364,0.369200542,0.087162317,0.669,0.043,0.75,0.69,0.028,3.485681557,1
2022,49340,1605,EDU_LOW,0.817021277,0.800847458,0.762114537,0.365195171,0.064535088,0.698,0.044,0.776,0.73,0.031,3.485681557,1
2022,49340,1605,EDU_MID,0.75,0.694444444,0.67673716,0.365195171,0.064535088,0.698,0.044,0.776,0.73,0.031,3.485681557,1
2022,49340,1605,EDU_HIGH,0.5,0.563636364,0.572368421,0.365195171,0.064535088,0.698,0.044,0.776,0.73,0.031,3.485681557,1
2017,49340,1606,EDU_LOW,0.760162602,0.612903226,0.565714286,0.393502121,0.118600216,0.817,0.042,0.484,0.763,0.027,3.758862817,0
2017,49340,1606,EDU_MID,0.78030303,0.774647887,0.671232877,0.393502121,0.118600216,0.817,0.042,0.484,0.763,0.027,3.758862817,0
2017,49340,1606,EDU_HIGH,0.698630137,0.684210526,0.582417582,0.393502121,0.118600216,0.817,0.042,0.484,0.763,0.027,3.758862817,0
2018,49340,1606,EDU_LOW,0.612903226,0.565714286,0.594202899,0.393015767,0.118270798,0.81,0.036,0.567,0.748,0.037,3.758862817,0
2018,49340,1606,EDU_MID,0.774647887,0.671232877,0.641791045,0.393015767,0.118270798,0.81,0.036,0.567,0.748,0.037,3.758862817,0
2018,49340,1606,EDU_HIGH,0.684210526,0.582417582,0.721153846,0.393015767,0.118270798,0.81,0.036,0.567,0.748,0.037,3.758862817,0
2019,49340,1606,EDU_LOW,0.565714286,0.594202899,0.628930818,0.389727269,0.104812397,0.792,0.04,0.673,0.735,0.031,3.758862817,0
2019,49340,1606,EDU_MID,0.671232877,0.641791045,0.657142857,0.389727269,0.104812397,0.792,0.04,0.673,0.735,0.031,3.758862817,0
2019,49340,1606,EDU_HIGH,0.582417582,0.721153846,0.745614035,0.389727269,0.104812397,0.792,0.04,0.673,0.735,0.031,3.758862817,0
2020,49340,1606,EDU_LOW,0.594202899,0.628930818,0.62585034,0.404901377,0.093943607,0.798,0.045,0.773,0.744,0.042,3.758862817,1
