year,cbsa,GEO_ID,CONTROL,LAG_2,LAG_1,TARGET,REMOTE_x,REMOTE_PPL_x,Computer_x,WirelessDevice_x,Cellular_x,CableFiber_x,SatelliteInternet_x,dist_to_cbd_x,covid,REMOTE_y,REMOTE_PPL_y,Computer_y,WirelessDevice_y,Cellular_y,CableFiber_y,SatelliteInternet_y,dist_to_cbd_y,REMOTE,REMOTE_PPL,Computer,WirelessDevice,Cellular,CableFiber,SatelliteInternet,dist_to_cbd
2017,44140,1001.0,SCP_PPL1Y,0.76,0.787037037037037,0.8425925925925927,0.4042289904378379,699,0.777,0.043,0.409,0.722,0.03,8.587381215123983,0,0.4042289904378379,699,0.777,0.043,0.409,0.722,0.03,8.587381215123983,0.4042289904378379,699,0.777,0.043,0.409,0.722,0.03,8.587381215123983
2018,44140,1001.0,SCP_PPL1Y,0.787037037037037,0.8425925925925927,0.8640776699029126,0.3976921703606176,572,0.799,0.0409999999999999,0.485,0.742,0.027,8.587381215123983,0,0.3976921703606176,572,0.799,0.0409999999999999,0.485,0.742,0.027,8.587381215123983,0.3976921703606176,572,0.799,0.0409999999999999,0.485,0.742,0.027,8.587381215123983
2019,44140,1001.0,SCP_PPL1Y,0.8425925925925927,0.8640776699029126,0.85,0.3993535514580903,599,0.8009999999999999,0.042,0.581,0.6890000000000001,0.025,8.587381215123983,0,0.3993535514580903,599,0.8009999999999999,0.042,0.581,0.6890000000000001,0.025,8.587381215123983,0.3993535514580903,599,0.8009999999999999,0.042,0.581,0.6890000000000001,0.025,8.587381215123983
2020,44140,1001.0,SCP_PPL1Y,0.8640776699029126,0.85,0.7926829268292683,0.3875800652918295,548,0.785,0.043,0.6729999999999999,0.695,0.021,8.587381215123983,1,0.3875800652918295,548,0.785,0.043,0.6729999999999999,0.695,0.021,8.587381215123983,0.3875800652918295,548,0.785,0.043,0.6729999999999999,0.695,0.021,8.587381215123983
2021,44140,1001.0,SCP_PPL1Y,0.85,0.7926829268292683,0.8241758241758242,0.3831503108380905,581,0.784,0.055,0.726,0.679,0.022,8.587381215123983,1,0.3831503108380905,581,0.784,0.055,0.726,0.679,0.022,8.587381215123983,0.3831503108380905,581,0.784,0.055,0.726,0.679,0.022,8.587381215123983
2022,44140,1001.0,SCP_PPL1Y,0.7926829268292683,0.8241758241758242,0.801980198019802,0.3712372015398051,456,0.7509999999999999,0.046,0.789,0.667,0.017,8.587381215123983,1,0.3712372015398051,456,0.7509999999999999,0.046,0.789,0.667,0.017,8.587381215123983,0.3712372015398051,456,0.7509999999999999,0.046,0.789,0.667,0.017,8.587381215123983
2017,49340,1603.0,SCP_PPL1Y,0.7142857142857143,0.7023809523809524,0.6344086021505376,0.3317876523097959,504,0.736,0.035,0.4579999999999999,0.6759999999999999,0.023,8.338035768461827,0,0.3317876523097959,504,0.736,0.035,0.4579999999999999,0.6759999999999999,0.023,8.338035768461827,0.3317876523097959,504,0.736,0.035,0.4579999999999999,0.6759999999999999,0.023,8.338035768461827
2018,49340,1603.0,SCP_PPL1Y,0.7023809523809524,0.6344086021505376,0.6302521008403361,0.3162468532925606,489,0.6920000000000001,0.037,0.565,0.6459999999999999,0.0289999999999999,8.338035768461827,0,0.3162468532925606,489,0.6920000000000001,0.037,0.565,0.6459999999999999,0.0289999999999999,8.338035768461827,0.3162468532925606,489,0.6920000000000001,0.037,0.565,0.6459999999999999,0.0289999999999999,8.338035768461827
2019,49340,1603.0,SCP_PPL1Y,0.6344086021505376,0.6302521008403361,0.6888888888888889,0.3318432143515674,607,0.6990000000000001,0.034,0.6970000000000001,0.6829999999999999,0.026,8.338035768461827,0,0.3318432143515674,607,0.6990000000000001,0.034,0.6970000000000001,0.6829999999999999,0.026,8.338035768461827,0.3318432143515674,607,0.6990000000000001,0.034,0.6970000000000001,0.6829999999999999,0.026,8.338035768461827
2020,49340,1603.0,SCP_PPL1Y,0.6302521008403361,0.6888888888888889,0.7669172932330827,0.3404791235413032,462,0.6659999999999999,0.037,0.7659999999999999,0.645,0.023,8.338035768461827,1,0.3404791235413032,462,0.6659999999999999,0.037,0.7659999999999999,0.645,0.023,8.338035768461827,0.3404791235413032,462,0.6659999999999999,0.037,0.7659999999999999,0.645,0.023,8.338035768461827
2021,49340,1603.0,SCP_PPL1Y,0.6888888888888889,0.7669172932330827,0.7651515151515151,0.3481146145803269,429,0.695,0.049,0.8190000000000001,0.6809999999999999,0.023,8.338035768461827,1,0.3481146145803269,429,0.695,0.049,0.8190000000000001,0.6809999999999999,0.023,8.338035768461827,0.3481146145803269,429,0.695,0.049,0.8190000000000001,0.6809999999999999,0.023,8.338035768461827
