year,cbsa,GEO_ID,CONTROL,LAG_2,LAG_1,TARGET,REMOTE,REMOTE_PPL,Computer,WirelessDevice,Cellular,CableFiber,SatelliteInternet,dist_to_cbd,covid
2017,44140,1001,PPL1Y,0.76,0.787037037,0.842592593,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2018,44140,1001,PPL1Y,0.787037037,0.842592593,0.86407767,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2019,44140,1001,PPL1Y,0.842592593,0.86407767,0.85,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2020,44140,1001,PPL1Y,0.86407767,0.85,0.792682927,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2021,44140,1001,PPL1Y,0.85,0.792682927,0.824175824,0.383150311,0.0969788,0.784,0.055,0.726,0.679,0.022,3.729452276,1
2022,44140,1001,PPL1Y,0.792682927,0.824175824,0.801980198,0.371237202,0.083838939,0.751,0.046,0.789,0.667,0.017,3.729452276,1
2017,49340,1603,PPL1Y,0.714285714,0.702380952,0.634408602,0.331787652,0.077873917,0.736,0.035,0.458,0.676,0.023,3.621162924,0
2018,49340,1603,PPL1Y,0.702380952,0.634408602,0.630252101,0.316246853,0.084602075,0.692,0.037,0.565,0.646,0.029,3.621162924,0
2019,49340,1603,PPL1Y,0.634408602,0.630252101,0.688888889,0.331843214,0.095141064,0.699,0.034,0.697,0.683,0.026,3.621162924,0
2020,49340,1603,PPL1Y,0.630252101,0.688888889,0.766917293,0.340479124,0.079014878,0.666,0.037,0.766,0.645,0.023,3.621162924,1
2021,49340,1603,PPL1Y,0.688888889,0.766917293,0.765151515,0.348114615,0.063171844,0.695,0.049,0.819,0.681,0.023,3.621162924,1
2022,49340,1603,PPL1Y,0.766917293,0.765151515,0.742647059,0.349895746,0.054862489,0.718,0.053,0.845,0.704,0.038,3.621162924,1
2017,49340,1604,PPL1Y,0.767241379,0.764705882,0.738738739,0.369674415,0.075444027,0.76,0.028,0.418,0.697,0.035,3.464196459,0
2018,49340,1604,PPL1Y,0.764705882,0.738738739,0.697478992,0.376353294,0.070524556,0.738,0.031,0.551,0.699,0.035,3.464196459,0
2019,49340,1604,PPL1Y,0.738738739,0.697478992,0.660869565,0.35889993,0.064752907,0.738,0.031,0.685,0.71,0.037,3.464196459,0
2020,49340,1604,PPL1Y,0.697478992,0.660869565,0.648648649,0.379540121,0.081558515,0.735,0.035,0.812,0.742,0.036,3.464196459,1
2021,49340,1604,PPL1Y,0.660869565,0.648648649,0.615384615,0.379714222,0.080219425,0.742,0.027,0.837,0.753,0.027,3.464196459,1
2022,49340,1604,PPL1Y,0.648648649,0.615384615,0.588235294,0.394215517,0.07652241,0.757,0.036,0.848,0.764,0.026,3.464196459,1
2017,49340,1605,PPL1Y,0.761904762,0.8,0.794444444,0.352362919,0.092286671,0.668,0.035,0.402,0.609,0.029,3.485681557,0
2018,49340,1605,PPL1Y,0.8,0.794444444,0.769784173,0.369413911,0.094970671,0.655,0.037,0.505,0.615,0.024,3.485681557,0
2019,49340,1605,PPL1Y,0.794444444,0.769784173,0.779527559,0.359288517,0.086692568,0.638,0.037,0.614,0.628,0.025,3.485681557,0
2020,49340,1605,PPL1Y,0.769784173,0.779527559,0.767741935,0.356694265,0.081596785,0.637,0.041,0.696,0.655,0.026,3.485681557,1
2021,49340,1605,PPL1Y,0.779527559,0.767741935,0.753424658,0.369200542,0.087162317,0.669,0.043,0.75,0.69,0.028,3.485681557,1
2022,49340,1605,PPL1Y,0.767741935,0.753424658,0.736111111,0.365195171,0.064535088,0.698,0.044,0.776,0.73,0.031,3.485681557,1
2017,49340,1606,PPL1Y,0.787234043,0.7375,0.647058824,0.393502121,0.118600216,0.817,0.042,0.484,0.763,0.027,3.758862817,0
2018,49340,1606,PPL1Y,0.7375,0.647058824,0.6375,0.393015767,0.118270798,0.81,0.036,0.567,0.748,0.037,3.758862817,0
2019,49340,1606,PPL1Y,0.647058824,0.6375,0.680412371,0.389727269,0.104812397,0.792,0.04,0.673,0.735,0.031,3.758862817,0
2020,49340,1606,PPL1Y,0.6375,0.680412371,0.542553191,0.404901377,0.093943607,0.798,0.045,0.773,0.744,0.042,3.758862817,1
2021,49340,1606,PPL1Y,0.680412371,0.542553191,0.43877551,0.42021233,0.08074328,0.829,0.041,0.818,0.777,0.038,3.758862817,1
2022,49340,1606,PPL1Y,0.542553191,0.43877551,0.482142857,0.419743847,0.07783611,0.814,0.044,0.808,0.761,0.034,3.758862817,1
2017,49340,1608,PPL1Y,0.682539683,0.697297297,0.519774011,0.379688349,0.099865034,0.563,0.093,0.393,0.52,0.024,2.350723961,0
2018,49340,1608,PPL1Y,0.697297297,0.519774011,0.595238095,0.344746678,0.076433113,0.583,0.08,0.56,0.554,0.024,2.350723961,0
2019,49340,1608,PPL1Y,0.519774011,0.595238095,0.661111111,0.329343488,0.054991535,0.568,0.075,0.61,0.575,0.026,2.350723961,0
2020,49340,1608,PPL1Y,0.595238095,0.661111111,0.662857143,0.334517061,0.059239606,0.685,0.096,0.744,0.674,0.015,2.350723961,1
