year,cbsa,GEO_ID,CONTROL,LAG_2,LAG_1,TARGET,REMOTE,REMOTE_PPL,Computer,WirelessDevice,Cellular,CableFiber,SatelliteInternet,dist_to_cbd,covid
2017,44140,1001,GENDER_0,0.757894737,0.777777778,0.868686869,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2017,44140,1001,GENDER_1,0.759615385,0.788135593,0.833333333,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2018,44140,1001,GENDER_0,0.777777778,0.868686869,0.888888889,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2018,44140,1001,GENDER_1,0.788135593,0.833333333,0.847619048,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2019,44140,1001,GENDER_0,0.868686869,0.888888889,0.86407767,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2019,44140,1001,GENDER_1,0.833333333,0.847619048,0.836734694,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2020,44140,1001,GENDER_0,0.888888889,0.86407767,0.816091954,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2020,44140,1001,GENDER_1,0.847619048,0.836734694,0.769230769,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2021,44140,1001,GENDER_0,0.86407767,0.816091954,0.811881188,0.383150311,0.0969788,0.784,0.055,0.726,0.679,0.022,3.729452276,1
2021,44140,1001,GENDER_1,0.836734694,0.769230769,0.8375,0.383150311,0.0969788,0.784,0.055,0.726,0.679,0.022,3.729452276,1
2022,44140,1001,GENDER_0,0.816091954,0.811881188,0.77,0.371237202,0.083838939,0.751,0.046,0.789,0.667,0.017,3.729452276,1
2022,44140,1001,GENDER_1,0.769230769,0.8375,0.825242718,0.371237202,0.083838939,0.751,0.046,0.789,0.667,0.017,3.729452276,1
2017,49340,1603,GENDER_0,0.766990291,0.75,0.71559633,0.331787652,0.077873917,0.736,0.035,0.458,0.676,0.023,3.621162924,0
2017,49340,1603,GENDER_1,0.626865672,0.632352941,0.533333333,0.331787652,0.077873917,0.736,0.035,0.458,0.676,0.023,3.621162924,0
2018,49340,1603,GENDER_0,0.75,0.71559633,0.677852349,0.316246853,0.084602075,0.692,0.037,0.565,0.646,0.029,3.621162924,0
2018,49340,1603,GENDER_1,0.632352941,0.533333333,0.554347826,0.316246853,0.084602075,0.692,0.037,0.565,0.646,0.029,3.621162924,0
2019,49340,1603,GENDER_0,0.71559633,0.677852349,0.741721854,0.331843214,0.095141064,0.699,0.034,0.697,0.683,0.026,3.621162924,0
2019,49340,1603,GENDER_1,0.533333333,0.554347826,0.625,0.331843214,0.095141064,0.699,0.034,0.697,0.683,0.026,3.621162924,0
2020,49340,1603,GENDER_0,0.677852349,0.741721854,0.765100671,0.340479124,0.079014878,0.666,0.037,0.766,0.645,0.023,3.621162924,1
2020,49340,1603,GENDER_1,0.554347826,0.625,0.769230769,0.340479124,0.079014878,0.666,0.037,0.766,0.645,0.023,3.621162924,1
2021,49340,1603,GENDER_0,0.741721854,0.765100671,0.763888889,0.348114615,0.063171844,0.695,0.049,0.819,0.681,0.023,3.621162924,1
2021,49340,1603,GENDER_1,0.625,0.769230769,0.773109244,0.348114615,0.063171844,0.695,0.049,0.819,0.681,0.023,3.621162924,1
2022,49340,1603,GENDER_0,0.765100671,0.763888889,0.703225806,0.349895746,0.054862489,0.718,0.053,0.845,0.704,0.038,3.621162924,1
2022,49340,1603,GENDER_1,0.769230769,0.773109244,0.801724138,0.349895746,0.054862489,0.718,0.053,0.845,0.704,0.038,3.621162924,1
