year,cbsa,GEO_ID,CONTROL,LAG_2,LAG_1,TARGET,REMOTE,REMOTE_PPL,Computer,WirelessDevice,Cellular,CableFiber,SatelliteInternet,dist_to_cbd,covid
2017,44140,1001,HOUSE_0,0.644444444,0.706896552,0.833333333,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2017,44140,1001,HOUSE_1,0.811111111,0.840425532,0.863636364,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2018,44140,1001,HOUSE_0,0.706896552,0.833333333,0.914285714,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2018,44140,1001,HOUSE_1,0.840425532,0.863636364,0.818181818,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2019,44140,1001,HOUSE_0,0.833333333,0.914285714,0.852941176,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2019,44140,1001,HOUSE_1,0.863636364,0.818181818,0.84375,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2020,44140,1001,HOUSE_0,0.914285714,0.852941176,0.863636364,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2020,44140,1001,HOUSE_1,0.818181818,0.84375,0.673333333,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2021,44140,1001,HOUSE_0,0.852941176,0.863636364,0.878378378,0.383150311,0.0969788,0.784,0.055,0.726,0.679,0.022,3.729452276,1
2021,44140,1001,HOUSE_1,0.84375,0.673333333,0.732484076,0.383150311,0.0969788,0.784,0.055,0.726,0.679,0.022,3.729452276,1
2022,44140,1001,HOUSE_0,0.863636364,0.878378378,0.877777778,0.371237202,0.083838939,0.751,0.046,0.789,0.667,0.017,3.729452276,1
2022,44140,1001,HOUSE_1,0.673333333,0.732484076,0.644295302,0.371237202,0.083838939,0.751,0.046,0.789,0.667,0.017,3.729452276,1
2017,49340,1603,HOUSE_0,0.735849057,0.745098039,0.698113208,0.331787652,0.077873917,0.736,0.035,0.458,0.676,0.023,3.621162924,0
