year,cbsa,GEO_ID,CONTROL,LAG_2,LAG_1,TARGET,REMOTE,REMOTE_PPL,Computer,WirelessDevice,Cellular,CableFiber,SatelliteInternet,dist_to_cbd,covid
2017,44140,1001,INCOME_LOW,0.841232227,0.893842887,0.888412017,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2017,44140,1001,INCOME_MID,0.852272727,0.867724868,0.879310345,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2017,44140,1001,INCOME_HIGH,1,1,1,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2018,44140,1001,INCOME_LOW,0.893842887,0.888412017,0.909090909,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2018,44140,1001,INCOME_MID,0.867724868,0.879310345,1,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2018,44140,1001,INCOME_HIGH,1,1,0.923809524,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2019,44140,1001,INCOME_LOW,0.888412017,0.909090909,0.879012346,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2019,44140,1001,INCOME_MID,0.879310345,1,0.941176471,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2019,44140,1001,INCOME_HIGH,1,0.923809524,0.823529412,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2020,44140,1001,INCOME_LOW,0.909090909,0.879012346,0.78425656,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2020,44140,1001,INCOME_MID,1,0.941176471,0.709090909,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2020,44140,1001,INCOME_HIGH,0.923809524,0.823529412,0.788321168,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2021,44140,1001,INCOME_LOW,0.879012346,0.78425656,0.770731707,0.383150311,0.0969788,0.784,0.055,0.726,0.679,0.022,3.729452276,1
2021,44140,1001,INCOME_MID,0.941176471,0.709090909,0.382978723,0.383150311,0.0969788,0.784,0.055,0.726,0.679,0.022,3.729452276,1
