year,cbsa,GEO_ID,CONTROL,LAG_2,LAG_1,TARGET,REMOTE,REMOTE_PPL,Computer,WirelessDevice,Cellular,CableFiber,SatelliteInternet,dist_to_cbd,covid
2017,44140,1001,RACE_0,0.777777778,0.802197802,0.884210526,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2017,44140,1001,RACE_1,0.900636943,0.905603448,0.867682056,0.40422899,0.118074322,0.777,0.043,0.409,0.722,0.03,3.729452276,0
2018,44140,1001,RACE_0,0.802197802,0.884210526,0.913043478,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2018,44140,1001,RACE_1,0.905603448,0.867682056,0.746835443,0.39769217,0.094969283,0.799,0.041,0.485,0.742,0.027,3.729452276,0
2019,44140,1001,RACE_0,0.884210526,0.913043478,0.84375,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2019,44140,1001,RACE_1,0.867682056,0.746835443,0.959617428,0.399353551,0.099816696,0.801,0.042,0.581,0.689,0.025,3.729452276,0
2020,44140,1001,RACE_0,0.913043478,0.84375,0.790697674,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2020,44140,1001,RACE_1,0.746835443,0.959617428,0.628571429,0.387580065,0.0973357,0.785,0.043,0.673,0.695,0.021,3.729452276,1
2021,44140,1001,RACE_0,0.84375,0.790697674,0.836956522,0.383150311,0.0969788,0.784,0.055,0.726,0.679,0.022,3.729452276,1
2021,44140,1001,RACE_1,0.959617428,0.628571429,0.754137116,0.383150311,0.0969788,0.784,0.055,0.726,0.679,0.022,3.729452276,1
2022,44140,1001,RACE_0,0.790697674,0.836956522,0.815533981,0.371237202,0.083838939,0.751,0.046,0.789,0.667,0.017,3.729452276,1
2022,44140,1001,RACE_1,0.628571429,0.754137116,0.809278351,0.371237202,0.083838939,0.751,0.046,0.789,0.667,0.017,3.729452276,1
2017,49340,1603,RACE_0,0.646341463,0.649350649,0.595505618,0.331787652,0.077873917,0.736,0.035,0.458,0.676,0.023,3.621162924,0
2017,49340,1603,RACE_1,0.743961353,0.728971963,0.685658153,0.331787652,0.077873917,0.736,0.035,0.458,0.676,0.023,3.621162924,0
2018,49340,1603,RACE_0,0.649350649,0.595505618,0.572580645,0.316246853,0.084602075,0.692,0.037,0.565,0.646,0.029,3.621162924,0
2018,49340,1603,RACE_1,0.728971963,0.685658153,0.724346076,0.316246853,0.084602075,0.692,0.037,0.565,0.646,0.029,3.621162924,0
2019,49340,1603,RACE_0,0.595505618,0.572580645,0.680555556,0.331843214,0.095141064,0.699,0.034,0.697,0.683,0.026,3.621162924,0
2019,49340,1603,RACE_1,0.685658153,0.724346076,0.70483871,0.331843214,0.095141064,0.699,0.034,0.697,0.683,0.026,3.621162924,0
2020,49340,1603,RACE_0,0.572580645,0.680555556,0.764285714,0.340479124,0.079014878,0.666,0.037,0.766,0.645,0.023,3.621162924,1
2020,49340,1603,RACE_1,0.724346076,0.70483871,0.77340824,0.340479124,0.079014878,0.666,0.037,0.766,0.645,0.023,3.621162924,1
2021,49340,1603,RACE_0,0.680555556,0.764285714,0.791666667,0.348114615,0.063171844,0.695,0.049,0.819,0.681,0.023,3.621162924,1
2021,49340,1603,RACE_1,0.70483871,0.77340824,0.790780142,0.348114615,0.063171844,0.695,0.049,0.819,0.681,0.023,3.621162924,1
2022,49340,1603,RACE_0,0.764285714,0.791666667,0.776315789,0.349895746,0.054862489,0.718,0.053,0.845,0.704,0.038,3.621162924,1
2022,49340,1603,RACE_1,0.77340824,0.790780142,0.816541353,0.349895746,0.054862489,0.718,0.053,0.845,0.704,0.038,3.621162924,1
2017,49340,1604,RACE_0,0.80952381,0.785046729,0.789473684,0.369674415,0.075444027,0.76,0.028,0.418,0.697,0.035,3.464196459,0
2017,49340,1604,RACE_1,0.727427598,0.755384615,0.686567164,0.369674415,0.075444027,0.76,0.028,0.418,0.697,0.035,3.464196459,0
2018,49340,1604,RACE_0,0.785046729,0.789473684,0.772727273,0.376353294,0.070524556,0.738,0.031,0.551,0.699,0.035,3.464196459,0
2018,49340,1604,RACE_1,0.755384615,0.686567164,0.621861152,0.376353294,0.070524556,0.738,0.031,0.551,0.699,0.035,3.464196459,0
2019,49340,1604,RACE_0,0.789473684,0.772727273,0.681415929,0.35889993,0.064752907,0.738,0.031,0.685,0.71,0.037,3.464196459,0
2019,49340,1604,RACE_1,0.686567164,0.621861152,0.66023166,0.35889993,0.064752907,0.738,0.031,0.685,0.71,0.037,3.464196459,0
2020,49340,1604,RACE_0,0.772727273,0.681415929,0.660550459,0.379540121,0.081558515,0.735,0.035,0.812,0.742,0.036,3.464196459,1
2020,49340,1604,RACE_1,0.621861152,0.66023166,0.638257576,0.379540121,0.081558515,0.735,0.035,0.812,0.742,0.036,3.464196459,1
2021,49340,1604,RACE_0,0.681415929,0.660550459,0.640350877,0.379714222,0.080219425,0.742,0.027,0.837,0.753,0.027,3.464196459,1
2021,49340,1604,RACE_1,0.66023166,0.638257576,0.53493014,0.379714222,0.080219425,0.742,0.027,0.837,0.753,0.027,3.464196459,1
2022,49340,1604,RACE_0,0.660550459,0.640350877,0.581196581,0.394215517,0.07652241,0.757,0.036,0.848,0.764,0.026,3.464196459,1
2022,49340,1604,RACE_1,0.638257576,0.53493014,0.561694291,0.394215517,0.07652241,0.757,0.036,0.848,0.764,0.026,3.464196459,1
2017,49340,1605,RACE_0,0.696132597,0.757062147,0.752808989,0.352362919,0.092286671,0.668,0.035,0.402,0.609,0.029,3.485681557,0
2017,49340,1605,RACE_1,0.849578821,0.941208791,0.935242839,0.352362919,0.092286671,0.668,0.035,0.402,0.609,0.029,3.485681557,0
2018,49340,1605,RACE_0,0.757062147,0.752808989,0.726618705,0.369413911,0.094970671,0.655,0.037,0.505,0.615,0.024,3.485681557,0
2018,49340,1605,RACE_1,0.941208791,0.935242839,0.935010482,0.369413911,0.094970671,0.655,0.037,0.505,0.615,0.024,3.485681557,0
2019,49340,1605,RACE_0,0.752808989,0.726618705,0.731707317,0.359288517,0.086692568,0.638,0.037,0.614,0.628,0.025,3.485681557,0
2019,49340,1605,RACE_1,0.935242839,0.935010482,0.930313589,0.359288517,0.086692568,0.638,0.037,0.614,0.628,0.025,3.485681557,0
2020,49340,1605,RACE_0,0.726618705,0.731707317,0.730769231,0.356694265,0.081596785,0.637,0.041,0.696,0.655,0.026,3.485681557,1
2020,49340,1605,RACE_1,0.935010482,0.930313589,0.450213371,0.356694265,0.081596785,0.637,0.041,0.696,0.655,0.026,3.485681557,1
2021,49340,1605,RACE_0,0.731707317,0.730769231,0.719745223,0.369200542,0.087162317,0.669,0.043,0.75,0.69,0.028,3.485681557,1
2021,49340,1605,RACE_1,0.930313589,0.450213371,0.308196721,0.369200542,0.087162317,0.669,0.043,0.75,0.69,0.028,3.485681557,1
2022,49340,1605,RACE_0,0.730769231,0.719745223,0.6875,0.365195171,0.064535088,0.698,0.044,0.776,0.73,0.031,3.485681557,1
2022,49340,1605,RACE_1,0.450213371,0.308196721,0.296787709,0.365195171,0.064535088,0.698,0.044,0.776,0.73,0.031,3.485681557,1
2017,49340,1606,RACE_0,0.758241758,0.771084337,0.689655172,0.393502121,0.118600216,0.817,0.042,0.484,0.763,0.027,3.758862817,0
2017,49340,1606,RACE_1,0.917808219,0.74566474,0.590106007,0.393502121,0.118600216,0.817,0.042,0.484,0.763,0.027,3.758862817,0
2018,49340,1606,RACE_0,0.771084337,0.689655172,0.698630137,0.393015767,0.118270798,0.81,0.036,0.567,0.748,0.037,3.758862817,0
2018,49340,1606,RACE_1,0.74566474,0.590106007,0.56043956,0.393015767,0.118270798,0.81,0.036,0.567,0.748,0.037,3.758862817,0
2019,49340,1606,RACE_0,0.689655172,0.698630137,0.716049383,0.389727269,0.104812397,0.792,0.04,0.673,0.735,0.031,3.758862817,0
2019,49340,1606,RACE_1,0.590106007,0.56043956,0.684210526,0.389727269,0.104812397,0.792,0.04,0.673,0.735,0.031,3.758862817,0
2020,49340,1606,RACE_0,0.698630137,0.716049383,0.525,0.404901377,0.093943607,0.798,0.045,0.773,0.744,0.042,3.758862817,1
2020,49340,1606,RACE_1,0.56043956,0.684210526,0.611451943,0.404901377,0.093943607,0.798,0.045,0.773,0.744,0.042,3.758862817,1
2021,49340,1606,RACE_0,0.716049383,0.525,0.340206186,0.42021233,0.08074328,0.829,0.041,0.818,0.777,0.038,3.758862817,1
2021,49340,1606,RACE_1,0.684210526,0.611451943,0.651162791,0.42021233,0.08074328,0.829,0.041,0.818,0.777,0.038,3.758862817,1
2022,49340,1606,RACE_0,0.525,0.340206186,0.359223301,0.419743847,0.07783611,0.814,0.044,0.808,0.761,0.034,3.758862817,1
2022,49340,1606,RACE_1,0.611451943,0.651162791,0.678137652,0.419743847,0.07783611,0.814,0.044,0.808,0.761,0.034,3.758862817,1
2017,49340,1608,RACE_0,0.601036269,0.65,0.442307692,0.379688349,0.099865034,0.563,0.093,0.393,0.52,0.024,2.350723961,0
2017,49340,1608,RACE_1,0.841920375,0.867671692,0.784222738,0.379688349,0.099865034,0.563,0.093,0.393,0.52,0.024,2.350723961,0
2018,49340,1608,RACE_0,0.65,0.442307692,0.600806452,0.344746678,0.076433113,0.583,0.08,0.56,0.554,0.024,2.350723961,0
2018,49340,1608,RACE_1,0.867671692,0.784222738,0.692307692,0.344746678,0.076433113,0.583,0.08,0.56,0.554,0.024,2.350723961,0
2019,49340,1608,RACE_0,0.442307692,0.600806452,0.675182482,0.329343488,0.054991535,0.568,0.075,0.61,0.575,0.026,2.350723961,0
2019,49340,1608,RACE_1,0.784222738,0.692307692,0.664359862,0.329343488,0.054991535,0.568,0.075,0.61,0.575,0.026,2.350723961,0
2020,49340,1608,RACE_0,0.600806452,0.675182482,0.630522088,0.334517061,0.059239606,0.685,0.096,0.744,0.674,0.015,2.350723961,1
2020,49340,1608,RACE_1,0.692307692,0.664359862,0.783289817,0.334517061,0.059239606,0.685,0.096,0.744,0.674,0.015,2.350723961,1
2021,49340,1608,RACE_0,0.675182482,0.630522088,0.621722846,0.309172155,0.068456371,0.782,0.077,0.857,0.735,0.014,2.350723961,1
2021,49340,1608,RACE_1,0.664359862,0.783289817,0.7008,0.309172155,0.068456371,0.782,0.077,0.857,0.735,0.014,2.350723961,1
2022,49340,1608,RACE_0,0.630522088,0.621722846,0.567484663,0.331062876,0.054341033,0.769,0.069,0.85,0.731,0.048,2.350723961,1
2022,49340,1608,RACE_1,0.783289817,0.7008,0.589464883,0.331062876,0.054341033,0.769,0.069,0.85,0.731,0.048,2.350723961,1
2017,49340,1609,RACE_0,0.450292398,0.461139896,0.47761194,0.408405237,0.088160134,0.752,0.042,0.455,0.688,0.023,3.532368827,0
2017,49340,1609,RACE_1,0.158146965,0.329334787,0.381284916,0.408405237,0.088160134,0.752,0.042,0.455,0.688,0.023,3.532368827,0
2018,49340,1609,RACE_0,0.461139896,0.47761194,0.465608466,0.409495651,0.091223351,0.732,0.037,0.558,0.657,0.023,3.532368827,0
2018,49340,1609,RACE_1,0.329334787,0.381284916,0.383983573,0.409495651,0.091223351,0.732,0.037,0.558,0.657,0.023,3.532368827,0
2019,49340,1609,RACE_0,0.47761194,0.465608466,0.466960352,0.384328433,0.067802563,0.722,0.045,0.642,0.661,0.019,3.532368827,0
2019,49340,1609,RACE_1,0.381284916,0.383983573,0.327338129,0.384328433,0.067802563,0.722,0.045,0.642,0.661,0.019,3.532368827,0
2020,49340,1609,RACE_0,0.465608466,0.466960352,0.530035336,0.391644732,0.057661217,0.721,0.055,0.702,0.667,0.018,3.532368827,1
2020,49340,1609,RACE_1,0.383983573,0.327338129,0.403061224,0.391644732,0.057661217,0.721,0.055,0.702,0.667,0.018,3.532368827,1
2021,49340,1609,RACE_0,0.466960352,0.530035336,0.472527473,0.395918016,0.066931636,0.732,0.045,0.776,0.704,0.023,3.532368827,1
2021,49340,1609,RACE_1,0.327338129,0.403061224,0.212368728,0.395918016,0.066931636,0.732,0.045,0.776,0.704,0.023,3.532368827,1
2022,49340,1609,RACE_0,0.530035336,0.472527473,0.489285714,0.412625738,0.071803852,0.763,0.041,0.812,0.73,0.027,3.532368827,1
2022,49340,1609,RACE_1,0.403061224,0.212368728,0.196137598,0.412625738,0.071803852,0.763,0.041,0.812,0.73,0.027,3.532368827,1
2017,49340,1610,RACE_0,0.646067416,0.620689655,0.601092896,0.298291022,0.059534387,0.608,0.033,0.397,0.56,0.019,3.296618127,0
2017,49340,1610,RACE_1,0.838546922,0.798882682,0.805309735,0.298291022,0.059534387,0.608,0.033,0.397,0.56,0.019,3.296618127,0
2018,49340,1610,RACE_0,0.620689655,0.601092896,0.558375635,0.301284326,0.064267811,0.599,0.036,0.533,0.544,0.018,3.296618127,0
2018,49340,1610,RACE_1,0.798882682,0.805309735,0.85041225,0.301284326,0.064267811,0.599,0.036,0.533,0.544,0.018,3.296618127,0
2019,49340,1610,RACE_0,0.601092896,0.558375635,0.464864865,0.309617608,0.070483748,0.576,0.041,0.642,0.557,0.023,3.296618127,0
2019,49340,1610,RACE_1,0.805309735,0.85041225,0.758426966,0.309617608,0.070483748,0.576,0.041,0.642,0.557,0.023,3.296618127,0
2020,49340,1610,RACE_0,0.558375635,0.464864865,0.441441441,0.306534368,0.059029806,0.56,0.044,0.706,0.571,0.012,3.296618127,1
2020,49340,1610,RACE_1,0.85041225,0.758426966,0.666666667,0.306534368,0.059029806,0.56,0.044,0.706,0.571,0.012,3.296618127,1
2021,49340,1610,RACE_0,0.464864865,0.441441441,0.423529412,0.326363398,0.054559999,0.593,0.044,0.766,0.622,0.023,3.296618127,1
2021,49340,1610,RACE_1,0.758426966,0.666666667,0.737151248,0.326363398,0.054559999,0.593,0.044,0.766,0.622,0.023,3.296618127,1
2022,49340,1610,RACE_0,0.441441441,0.423529412,0.434944238,0.335731012,0.066708424,0.627,0.044,0.78,0.65,0.029,3.296618127,1
2022,49340,1610,RACE_1,0.666666667,0.737151248,0.841614907,0.335731012,0.066708424,0.627,0.044,0.78,0.65,0.029,3.296618127,1
2017,14460,2108,RACE_0,0.397810219,0.469879518,0.411167513,0.635585283,0.266219224,0.972,0.083,0.529,0.933,0.014,2.776670266,0
2017,14460,2108,RACE_1,0.302223987,0.187697874,0.134219554,0.635585283,0.266219224,0.972,0.083,0.529,0.933,0.014,2.776670266,0
2018,14460,2108,RACE_0,0.469879518,0.411167513,0.342723005,0.617567938,0.257897745,0.945,0.08,0.68,0.873,0.02,2.776670266,0
2018,14460,2108,RACE_1,0.187697874,0.134219554,0.144967682,0.617567938,0.257897745,0.945,0.08,0.68,0.873,0.02,2.776670266,0
2019,14460,2108,RACE_0,0.411167513,0.342723005,0.420289855,0.615717861,0.205334665,0.942,0.066,0.774,0.883,0.047,2.776670266,0
2019,14460,2108,RACE_1,0.134219554,0.144967682,0.170460561,0.615717861,0.205334665,0.942,0.066,0.774,0.883,0.047,2.776670266,0
2020,14460,2108,RACE_0,0.342723005,0.420289855,0.281512605,0.603064392,0.178146029,0.935,0.078,0.885,0.894,0.043,2.776670266,1
2020,14460,2108,RACE_1,0.144967682,0.170460561,0.078609626,0.603064392,0.178146029,0.935,0.078,0.885,0.894,0.043,2.776670266,1
2021,14460,2108,RACE_0,0.420289855,0.281512605,0.278761062,0.651856089,0.207010568,0.934,0.081,0.899,0.861,0.047,2.776670266,1
2021,14460,2108,RACE_1,0.170460561,0.078609626,0.22235023,0.651856089,0.207010568,0.934,0.081,0.899,0.861,0.047,2.776670266,1
2022,14460,2108,RACE_0,0.281512605,0.278761062,0.243119266,0.639253499,0.203432918,0.934,0.07,0.887,0.869,0.068,2.776670266,1
2022,14460,2108,RACE_1,0.078609626,0.22235023,0.057563588,0.639253499,0.203432918,0.934,0.07,0.887,0.869,0.068,2.776670266,1
2017,14460,2109,RACE_0,0.470779221,0.5,0.43452381,0.600537058,0.35814184,0.938,0.061,0.593,0.865,0.03,3.18295189,0
2017,14460,2109,RACE_1,0.347648262,0.446386021,0.51039261,0.600537058,0.35814184,0.938,0.061,0.593,0.865,0.03,3.18295189,0
2018,14460,2109,RACE_0,0.5,0.43452381,0.457765668,0.58932776,0.370999981,0.945,0.065,0.695,0.865,0.022,3.18295189,0
2018,14460,2109,RACE_1,0.446386021,0.51039261,0.552025417,0.58932776,0.370999981,0.945,0.065,0.695,0.865,0.022,3.18295189,0
2019,14460,2109,RACE_0,0.43452381,0.457765668,0.474576271,0.58684678,0.318696228,0.949,0.058,0.796,0.898,0.025,3.18295189,0
2019,14460,2109,RACE_1,0.51039261,0.552025417,0.47557328,0.58684678,0.318696228,0.949,0.058,0.796,0.898,0.025,3.18295189,0
2020,14460,2109,RACE_0,0.457765668,0.474576271,0.583798883,0.56050759,0.257482173,0.965,0.082,0.921,0.853,0.066,3.18295189,1
2020,14460,2109,RACE_1,0.552025417,0.47557328,0.784634761,0.56050759,0.257482173,0.965,0.082,0.921,0.853,0.066,3.18295189,1
2021,14460,2109,RACE_0,0.474576271,0.583798883,0.595611285,0.554517109,0.267865157,0.971,0.075,0.932,0.834,0.067,3.18295189,1
2021,14460,2109,RACE_1,0.47557328,0.784634761,0.705882353,0.554517109,0.267865157,0.971,0.075,0.932,0.834,0.067,3.18295189,1
2022,14460,2109,RACE_0,0.583798883,0.595611285,0.633053221,0.557937238,0.202252243,0.958,0.078,0.954,0.864,0.065,3.18295189,1
2022,14460,2109,RACE_1,0.784634761,0.705882353,0.71867794,0.557937238,0.202252243,0.958,0.078,0.954,0.864,0.065,3.18295189,1
2017,14460,2111,RACE_0,0.552123552,0.487096774,0.485049834,0.445019408,0.212671679,0.779,0.069,0.54,0.755,0.023,2.689046968,0
2017,14460,2111,RACE_1,0.205336952,0.339754816,0.292792793,0.445019408,0.212671679,0.779,0.069,0.54,0.755,0.023,2.689046968,0
2018,14460,2111,RACE_0,0.487096774,0.485049834,0.441358025,0.463037565,0.214968806,0.755,0.061,0.62,0.752,0.031,2.689046968,0
2018,14460,2111,RACE_1,0.339754816,0.292792793,0.344502618,0.463037565,0.214968806,0.755,0.061,0.62,0.752,0.031,2.689046968,0
2019,14460,2111,RACE_0,0.485049834,0.441358025,0.350180505,0.462064164,0.240973005,0.781,0.067,0.735,0.783,0.035,2.689046968,0
2019,14460,2111,RACE_1,0.292792793,0.344502618,0.415315315,0.462064164,0.240973005,0.781,0.067,0.735,0.783,0.035,2.689046968,0
2020,14460,2111,RACE_0,0.441358025,0.350180505,0.281690141,0.493555522,0.208842096,0.786,0.059,0.866,0.823,0.036,2.689046968,1
2020,14460,2111,RACE_1,0.344502618,0.415315315,0.444874275,0.493555522,0.208842096,0.786,0.059,0.866,0.823,0.036,2.689046968,1
2021,14460,2111,RACE_0,0.350180505,0.281690141,0.241258741,0.510694149,0.202740822,0.81,0.066,0.881,0.827,0.04,2.689046968,1
2021,14460,2111,RACE_1,0.415315315,0.444874275,0.296373057,0.510694149,0.202740822,0.81,0.066,0.881,0.827,0.04,2.689046968,1
2022,14460,2111,RACE_0,0.281690141,0.241258741,0.240740741,0.510235353,0.169265874,0.834,0.06,0.908,0.851,0.05,2.689046968,1
2022,14460,2111,RACE_1,0.444874275,0.296373057,0.445431472,0.510235353,0.169265874,0.834,0.06,0.908,0.851,0.05,2.689046968,1
2017,14460,2113,RACE_0,0.419753086,0.470779221,0.491694352,0.55115881,0.276188422,0.861,0.047,0.5,0.845,0.008,3.077758281,0
2017,14460,2113,RACE_1,0.227575982,0.221252974,0.255775578,0.55115881,0.276188422,0.861,0.047,0.5,0.845,0.008,3.077758281,0
2018,14460,2113,RACE_0,0.470779221,0.491694352,0.524752475,0.562589015,0.298000827,0.873,0.051,0.61,0.858,0.014,3.077758281,0
2018,14460,2113,RACE_1,0.221252974,0.255775578,0.693379791,0.562589015,0.298000827,0.873,0.051,0.61,0.858,0.014,3.077758281,0
2019,14460,2113,RACE_0,0.491694352,0.524752475,0.551724138,0.54992053,0.298115598,0.904,0.047,0.725,0.896,0.027,3.077758281,0
2019,14460,2113,RACE_1,0.255775578,0.693379791,0.731914894,0.54992053,0.298115598,0.904,0.047,0.725,0.896,0.027,3.077758281,0
2020,14460,2113,RACE_0,0.524752475,0.551724138,0.49002849,0.571192669,0.307116098,0.907,0.054,0.897,0.897,0.071,3.077758281,1
2020,14460,2113,RACE_1,0.693379791,0.731914894,0.705167173,0.571192669,0.307116098,0.907,0.054,0.897,0.897,0.071,3.077758281,1
2021,14460,2113,RACE_0,0.551724138,0.49002849,0.43902439,0.574702475,0.239774324,0.918,0.062,0.906,0.889,0.085,3.077758281,1
2021,14460,2113,RACE_1,0.731914894,0.705167173,0.687815834,0.574702475,0.239774324,0.918,0.062,0.906,0.889,0.085,3.077758281,1
2022,14460,2113,RACE_0,0.49002849,0.43902439,0.334328358,0.565877497,0.236250592,0.915,0.061,0.905,0.858,0.094,3.077758281,1
2022,14460,2113,RACE_1,0.705167173,0.687815834,0.682170543,0.565877497,0.236250592,0.915,0.061,0.905,0.858,0.094,3.077758281,1
2017,14460,2114,RACE_0,0.519637462,0.460410557,0.438235294,0.548543324,0.237303234,0.918,0.037,0.611,0.842,0.023,3.090602858,0
2017,14460,2114,RACE_1,0.575518969,0.601236476,0.542758621,0.548543324,0.237303234,0.918,0.037,0.611,0.842,0.023,3.090602858,0
2018,14460,2114,RACE_0,0.460410557,0.438235294,0.396039604,0.558020863,0.227097874,0.926,0.032,0.695,0.848,0.032,3.090602858,0
2018,14460,2114,RACE_1,0.601236476,0.542758621,0.582848837,0.558020863,0.227097874,0.926,0.032,0.695,0.848,0.032,3.090602858,0
2019,14460,2114,RACE_0,0.438235294,0.396039604,0.405109489,0.56345156,0.195272929,0.924,0.036,0.777,0.843,0.034,3.090602858,0
2019,14460,2114,RACE_1,0.542758621,0.582848837,0.58443804,0.56345156,0.195272929,0.924,0.036,0.777,0.843,0.034,3.090602858,0
2020,14460,2114,RACE_0,0.396039604,0.405109489,0.405904059,0.569919066,0.213784207,0.919,0.038,0.891,0.874,0.042,3.090602858,1
2020,14460,2114,RACE_1,0.582848837,0.58443804,0.610914245,0.569919066,0.213784207,0.919,0.038,0.891,0.874,0.042,3.090602858,1
2021,14460,2114,RACE_0,0.405109489,0.405904059,0.458955224,0.577700157,0.220810731,0.933,0.037,0.916,0.886,0.034,3.090602858,1
2021,14460,2114,RACE_1,0.58443804,0.610914245,0.604930468,0.577700157,0.220810731,0.933,0.037,0.916,0.886,0.034,3.090602858,1
2022,14460,2114,RACE_0,0.405904059,0.458955224,0.450704225,0.586536715,0.243337032,0.931,0.038,0.93,0.899,0.031,3.090602858,1
